Date,Time,Voltage (V)
6/13/2019,12:14:31 PM,0.6285
6/13/2019,12:14:36 PM,0.6295
6/13/2019,12:14:41 PM,0.63
6/13/2019,12:14:46 PM,0.6305
6/13/2019,12:14:51 PM,0.631
6/13/2019,12:14:56 PM,0.6315
6/13/2019,12:15:01 PM,0.632
6/13/2019,12:15:06 PM,0.632
6/13/2019,12:15:11 PM,0.6315
6/13/2019,12:15:16 PM,0.6305
6/13/2019,12:15:21 PM,0.63
6/13/2019,12:15:26 PM,0.629
6/13/2019,12:15:31 PM,0.629
6/13/2019,12:15:36 PM,0.629
6/13/2019,12:15:41 PM,0.6295
6/13/2019,12:15:46 PM,0.6295
6/13/2019,12:15:51 PM,0.629
6/13/2019,12:15:56 PM,0.628
6/13/2019,12:16:01 PM,0.6275
6/13/2019,12:16:06 PM,0.6285
6/13/2019,12:16:11 PM,0.63
6/13/2019,12:16:16 PM,0.631
6/13/2019,12:16:21 PM,0.631
6/13/2019,12:16:26 PM,0.631
6/13/2019,12:16:31 PM,0.6305
6/13/2019,12:16:36 PM,0.6295
6/13/2019,12:16:41 PM,0.6285
6/13/2019,12:16:46 PM,0.627
6/13/2019,12:16:51 PM,0.6265
6/13/2019,12:16:56 PM,0.626
6/13/2019,12:17:01 PM,0.6265
6/13/2019,12:17:06 PM,0.6275
6/13/2019,12:17:11 PM,0.627
6/13/2019,12:17:16 PM,0.6255
6/13/2019,12:17:21 PM,0.626
6/13/2019,12:17:26 PM,0.6265
