"","X","PosixCT","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample"
"73912",73912,2019-07-17 18:13:34,1.8917101222,1.9527725289,-49.449332254,-52.96713129,-56.166459634,-49.449332254,-50.298838192,"col1"
"73913",73913,2019-07-17 18:13:36,1.8917101222,1.9527725289,-49.449332254,-52.96713129,-56.166459634,-49.449332254,-50.298838192,"col1"
"73914",73914,2019-07-17 18:13:36,1.8917101222,1.9527725289,-49.449332254,-52.96713129,-56.166459634,-49.449332254,-50.298838192,"col1"
"73915",73915,2019-07-17 18:13:37,1.8917101222,1.9527725289,-49.449332254,-52.96713129,-56.166459634,-49.449332254,-50.298838192,"col1"
"73916",73916,2019-07-17 18:13:38,1.8663847795,1.9403447594,-54.70483282,-49.649308081,-54.907372647,-54.70483282,-50.219570777,"col1"
"73917",73917,2019-07-17 18:13:39,1.8663847795,1.9403447594,-54.70483282,-49.649308081,-54.907372647,-54.70483282,-50.219570777,"col1"
"73918",73918,2019-07-17 18:13:40,1.8663847795,1.9403447594,-54.70483282,-49.649308081,-54.907372647,-54.70483282,-50.219570777,"col1"
"73919",73919,2019-07-17 18:13:40,1.8663847795,1.9403447594,-54.70483282,-49.649308081,-54.907372647,-54.70483282,-50.219570777,"col1"
"73920",73920,2019-07-17 18:13:41,1.8693562317,1.9271420838,-54.034676727,-55.597626441,-54.965050753,-54.034676727,-50.620625242,"col1"
"73921",73921,2019-07-17 18:13:43,1.8693562317,1.9271420838,-54.034676727,-55.597626441,-54.965050753,-54.034676727,-50.620625242,"col1"
"73922",73922,2019-07-17 18:13:43,1.8693562317,1.9271420838,-54.034676727,-55.597626441,-54.965050753,-54.034676727,-50.620625242,"col1"
"73923",73923,2019-07-17 18:13:44,1.8693562317,1.9271420838,-54.034676727,-55.597626441,-54.965050753,-54.034676727,-50.620625242,"col1"
"73924",73924,2019-07-17 18:13:45,1.8477517309,1.9137803814,-46.075156385,-42.61611315,-52.902430486,-46.075156385,-49.996605128,"col1"
"73925",73925,2019-07-17 18:13:46,1.8477517309,1.9137803814,-46.075156385,-42.61611315,-52.902430486,-46.075156385,-49.996605128,"col1"
"73926",73926,2019-07-17 18:13:47,1.8477517309,1.9137803814,-46.075156385,-42.61611315,-52.902430486,-46.075156385,-49.996605128,"col1"
