"","DateTime","Inj","V1","V2","V3","V4","V4_adjusted"
"345",2019-07-11 15:05:00,"No",NA,NA,NA,NA,NA
"346",2019-07-11 15:10:00,"No",NA,NA,NA,NA,NA
"347",2019-07-11 15:15:00,"No",2040,2000,1722.5,1428.58251570363,1428.58251570363
"348",2019-07-11 15:20:00,"No",NA,NA,NA,NA,NA
"349",2019-07-11 15:25:00,"No",NA,NA,NA,NA,NA
"350",2019-07-11 15:30:00,"No",2060,1995,1767.5,1444.56847109293,1444.56847109293
"351",2019-07-11 15:33:00,"No",NA,NA,NA,NA,NA
"352",2019-07-11 15:35:00,"No",NA,NA,NA,NA,NA
"353",2019-07-11 15:40:00,"No",NA,NA,NA,NA,NA
"354",2019-07-11 15:45:00,"No",2090,2030,1772.5,1460.55442648223,1460.55442648223
"355",2019-07-11 15:48:00,"No",NA,NA,NA,NA,NA
"356",2019-07-11 15:50:00,"No",NA,NA,NA,NA,NA
"357",2019-07-11 15:55:00,"No",NA,NA,NA,NA,NA
"358",2019-07-11 16:00:00,"No",2070,2010,1782.5,1444.56847109293,1444.56847109293
"359",2019-07-11 16:03:00,"No",NA,NA,NA,NA,NA
"360",2019-07-11 16:05:00,"No",NA,NA,NA,NA,NA
"361",2019-07-11 16:10:00,"No",NA,NA,NA,NA,NA
"362",2019-07-11 16:15:00,"No",2110,2045,1787.5,1508.51229265014,1508.51229265014
"363",2019-07-11 16:18:00,"No",NA,NA,NA,NA,NA
"364",2019-07-11 16:20:00,"No",NA,NA,NA,NA,NA
"365",2019-07-11 16:25:00,"No",NA,NA,NA,NA,NA
